REGION,date,p2.5,p25,p50,p75,p97.5,mean,p.positive,week
Louisiana,29,-34556.97506616514,88611.34591548138,132259.5636755817,164210.31987283754,207298.7529306896,120323.06398698835,0.9525,2020-02-02
Louisiana,30,-33657.915288249045,94214.78675331702,137447.94331833764,168205.09380523075,207710.91620087292,124404.31882119137,0.95325,2020-02-09
Louisiana,31,-17909.64975423964,92921.21288080943,132158.76754339662,160394.42570032412,197616.64603851284,120878.79617307843,0.96675,2020-02-16
Maine,31,93.75529248508144,12828.93409066263,16642.66529189112,19181.14836145204,22580.514491456044,15283.381033341953,0.97525,2020-02-16
Montana,31,1450.372524652235,6450.774989719041,7613.382208015255,8383.762255231817,9477.948052091302,7082.985098385068,0.983,2020-02-16
Virginia,31,-44077.13306433397,173532.92660748604,251030.43088411598,310748.7444075251,385945.290508209,230227.32354393366,0.9585,2020-02-16
Delaware,32,727.9450682961095,5492.518290499372,6864.128081754631,7871.029618304969,9227.324006061885,6381.799610358757,0.98125,2020-02-23
Louisiana,32,20883.42550836043,129428.9945902281,164386.86983725068,191618.63737960093,224781.55371459096,154077.79716043978,0.983,2020-02-23
Maine,32,146.76789718316067,12514.789896592105,15959.775322039535,18466.205195352475,21726.925795697378,14694.060736302514,0.97525,2020-02-23
Massachusetts,32,-44332.33212101138,123721.475721073,182479.92857855762,228117.87212247096,288744.3813097927,166774.06206460475,0.95025,2020-02-23
Montana,32,244.04647075261116,5982.647346733721,7302.403332288797,8098.323042301883,9233.938565677967,6637.17409332337,0.97675,2020-02-23
New Hampshire,32,234.6553718817721,6079.044402156138,7459.12198247563,8409.231218614495,9797.66235131137,6861.390271816484,0.978,2020-02-23
Rhode Island,32,-4880.66188262012,15646.432731441922,20730.435721357055,24014.124668503042,28146.230703423575,18381.14687767795,0.959,2020-02-23
Virginia,32,-8416.11389515321,204815.06025713647,276398.6756888501,329529.59285863576,403108.33865900926,256875.97281371066,0.97225,2020-02-23
Delaware,33,-1046.8147416032832,2933.5311191089695,4067.001529203111,4855.891185801452,5877.028500677037,3647.811325886329,0.957,2020-03-01
Kentucky,33,-46718.017912621115,80680.51205319769,105063.95658363003,117520.8139210761,132235.45072955228,89422.64880795428,0.95075,2020-03-01
Louisiana,33,33872.23221052295,136023.4022830304,169980.0698449065,195558.01004478306,228486.96388695596,160103.54301321288,0.98875,2020-03-01
Maine,33,2344.5261224499554,14421.630921063947,17642.716866363196,20117.739387018337,23419.225312983897,16480.46220457837,0.983,2020-03-01
Maryland,33,-44646.01361306254,146735.1166606119,207827.73755389324,245952.88527084247,291896.7752488955,185907.89017299234,0.95575,2020-03-01
Massachusetts,33,-9836.573998385367,151145.65709143595,207384.21320684178,250376.58276419842,309580.83414101804,192632.1662845852,0.97225,2020-03-01
Montana,33,1846.225296851684,7557.5035474852675,8838.249269882646,9685.707862469346,10857.773314923355,8208.375747299937,0.98575,2020-03-01
New Hampshire,33,-1821.4152850674689,3832.1551350461573,5242.434458079901,6126.621441046318,7262.939745268863,4604.936617495337,0.95125,2020-03-01
New York,33,-86645.44847372103,412879.14545334416,597455.6295577775,732577.9454562046,924378.771479936,545732.9149818206,0.96325,2020-03-01
Oregon,33,16698.931207135312,71358.98556441744,86549.5868024035,97500.52595882512,112134.93489160023,80858.18978096462,0.98425,2020-03-01
Rhode Island,33,-5238.452530462015,13201.630330833017,17725.472123506563,20397.73276587767,24009.76687130412,15648.117283211328,0.95625,2020-03-01
South Carolina,33,-57029.26625313695,138003.18322262034,179515.05676672046,203180.75312595957,229185.43699043847,156454.4491391485,0.95275,2020-03-01
Virginia,33,11081.772797651167,202664.80506537223,274323.6356211876,325959.8036041603,392670.7968142437,254959.09959588674,0.97725,2020-03-01
Colorado,34,135429.819855381,215733.6883803526,242493.78409320177,261775.41688143718,290120.8259297886,234200.32636715853,0.9985,2020-03-08
Connecticut,34,-50563.7341993701,123922.49975952247,166695.1476491147,192651.37256289407,220019.04479437135,145626.09240098155,0.95625,2020-03-08
Georgia,34,51734.378518921316,476208.449409873,589040.5827240522,665060.0710577811,755272.8894565065,542005.4471259011,0.9795,2020-03-08
Illinois,34,-19467.30261880543,204028.58041727095,283694.1726366824,342332.4354639689,422478.09409800626,263021.0037589331,0.97,2020-03-08
Iowa,34,-397.5449178805774,19615.007590968467,24729.348987656653,28299.81246637854,32985.07406910943,22717.454955834826,0.973,2020-03-08
Kentucky,34,-60773.13200351955,91292.12877097604,115764.72099704703,128835.12281358612,143129.44471820915,98679.27027057376,0.95025,2020-03-08
Louisiana,34,122702.08343359276,215243.20035719904,248138.3965225312,273470.0263227604,307954.65439930436,239485.65579450768,0.99875,2020-03-08
Maine,34,8510.864664245606,19197.8241177628,22637.23601926397,24948.980791446666,28513.914413417035,21423.97411396368,0.99325,2020-03-08
Maryland,34,73027.30047010054,240125.7828765324,291617.9238030392,326415.78477333765,374571.3753449191,273770.1875466679,0.98725,2020-03-08
Massachusetts,34,144646.2630736153,288252.8078641528,340189.493693764,380183.6210453346,435658.7223865919,327229.90253647283,0.99675,2020-03-08
Missouri,34,29405.85286230611,73139.44833129496,87128.47334266089,98959.98341379591,117136.39599342509,83798.59955980077,0.994,2020-03-08
Montana,34,5093.820241721757,10862.617536388248,12123.114228784078,13044.703707095312,14456.036427662786,11573.362337303546,0.9935,2020-03-08
Nevada,34,359.26422103353474,16471.945361769544,22095.7640084104,26109.7955882532,31328.29595188613,20372.19695578603,0.97625,2020-03-08
New Jersey,34,-123211.26186108922,446137.6475485371,597327.4918990778,696983.4798645054,808478.4413319259,532946.279036026,0.9625,2020-03-08
New Mexico,34,-5402.412384514311,30639.536031241398,43357.424289019866,52314.4366425309,64759.45447888386,39655.33314124629,0.96325,2020-03-08
New York,34,679973.1181842425,1206280.8222370315,1396377.3063801106,1542777.1019276162,1771737.144583294,1352463.5101696989,0.9995,2020-03-08
North Carolina,34,-58766.48156674868,207938.40893538535,283101.2305644527,331803.48285154614,390238.27425405924,253549.16352314755,0.96025,2020-03-08
Oregon,34,53595.43796972725,104601.43313464586,119915.22701112246,130778.71729661571,145327.87282898353,114789.5013281109,0.99675,2020-03-08
Pennsylvania,34,58475.71713170016,299289.84813151776,384785.53215140477,449068.6956810018,534622.6837866287,361991.06323056965,0.9865,2020-03-08
South Carolina,34,14049.894384979525,197506.7896666701,235626.030763767,257089.36783855275,283690.598003204,214201.52769349137,0.979,2020-03-08
Tennessee,34,-57293.45522123079,151891.6108462196,203148.50728121866,235100.86221239658,267100.6213855679,179970.88396144446,0.958,2020-03-08
Virginia,34,85894.21026870185,268232.93509231025,330818.5962954712,378985.84949884133,446295.31182770856,313234.91272218217,0.99,2020-03-08
Washington,34,141235.4022771233,185988.17431485862,203585.33927543845,217699.1452528199,241038.4234827018,200083.69475386245,0.99975,2020-03-08
West Virginia,34,-2259.2550497883576,22898.965350465736,30195.696600057905,35454.42758469632,42212.177278363815,27696.04560202789,0.97,2020-03-08
Wisconsin,34,-28657.12967921313,94191.91687508352,133597.86729158973,159523.7308018908,191503.2230038529,119529.9707813451,0.95475,2020-03-08
California,35,-27362.61066687032,404269.88272019324,554951.3532623402,668687.7339385863,832412.421882216,515964.69629524497,0.971,2020-03-15
Colorado,35,80128.0627534407,127872.0544375208,142437.5406993432,153408.4987571868,171485.17196466136,138115.73094372192,0.99825,2020-03-15
Connecticut,35,7723.449251334044,113311.92508988499,138922.2919950792,156097.83091779775,177114.31176640897,127119.41132532284,0.97675,2020-03-15
Georgia,35,205010.05354222588,519356.21061228367,607379.2872520197,668444.0646913534,743772.405820645,573105.7971398699,0.99375,2020-03-15
Illinois,35,119468.1431034018,283994.0281928659,339517.4811403082,384795.2080904274,452917.45000072767,325868.84014584764,0.99575,2020-03-15
Iowa,35,-3569.3075819261035,7285.187764639159,10201.395360615143,12240.09996857173,14878.858224340387,9025.77784980697,0.95075,2020-03-15
Louisiana,35,171475.647939033,240150.84621213848,265420.77477249457,285899.09125558706,316868.7660757608,259956.64031940536,0.99975,2020-03-15
Maine,35,18349.901493908335,25325.04746753509,27800.836069781155,29916.78529523935,33557.04608010001,27302.227394913538,1,2020-03-15
Maryland,35,238575.92573663034,360276.5353236203,395695.8301741889,423096.2500356507,461419.84937816916,384663.82743404247,0.999,2020-03-15
Massachusetts,35,298875.3164726509,388408.68908520194,424421.7918142934,453557.7734615571,501135.21705244225,417843.120275366,1,2020-03-15
Michigan,35,-28093.927081810416,64031.135507664076,84469.41135536911,97890.60714293066,115610.7030076484,74945.85772621786,0.956,2020-03-15
Missouri,35,3953.9197400016214,25783.771458764804,33610.88455687239,39987.32870917269,49366.411603935856,31890.295679684627,0.982,2020-03-15
Montana,35,4868.6164425947945,8917.666015833072,9793.163388239034,10534.971896989804,11732.997465620012,9452.459442594527,0.99475,2020-03-15
Nevada,35,4231.339121341365,16410.547040563793,20646.947865970382,23618.181457260667,28014.176138632167,19385.325804627475,0.9865,2020-03-15
New Jersey,35,502110.4999441914,1088973.3839689626,1245771.1445348607,1357378.8755705385,1492370.660665696,1188689.3227267426,0.9975,2020-03-15
New Mexico,35,12057.132815950536,41107.73033088857,50613.624797335695,57592.70153932081,67215.00958098064,47695.48309548984,0.991,2020-03-15
New York,35,1806873.8565210833,2232249.4587082127,2402080.2201044736,2543558.360321878,2774207.2665975,2371491.0084959664,1,2020-03-15
North Carolina,35,33088.629086292,236311.14393551074,295383.2288263164,333395.2807751481,380546.7270228058,272555.9269755057,0.9825,2020-03-15
North Dakota,35,3598.460862884046,14845.041992955426,17165.873060313024,18811.406574001645,21000.634245062593,16107.459180660806,0.9865,2020-03-15
Ohio,35,18063.429273569254,67785.52833462952,84621.86718620973,97064.72697273428,116141.57646066556,79870.03770440597,0.98825,2020-03-15
Oklahoma,35,-12777.04960655845,50101.11006091918,68878.0213793627,82436.22545320242,99331.11742517324,62610.73482592744,0.958,2020-03-15
Oregon,35,75938.39018501186,109159.45612727501,120075.0008692968,128658.72279401663,141539.0942728286,117179.15426933594,0.99925,2020-03-15
Pennsylvania,35,267015.2543926415,429667.16690611385,492261.0302061491,542990.9679580939,615176.6554503303,478952.1177500955,1,2020-03-15
South Carolina,35,57420.59408488747,187515.64661339181,215942.66540689662,233504.72931934282,256498.4370514929,201598.63478769368,0.989,2020-03-15
Tennessee,35,101271.4912078049,254787.2944706144,295551.5557188698,322597.2113602405,356489.35630771774,278288.9861699489,0.9915,2020-03-15
Texas,35,-11944.307323295678,292832.5040494707,389145.18348750763,461626.8642885654,569454.5975792971,361109.71466905763,0.9735,2020-03-15
Utah,35,-2915.5145005999593,30226.05244300513,38840.63594248195,44597.40254343345,51752.900561811875,35211.18048467669,0.97125,2020-03-15
Virginia,35,100897.49872194209,224744.6389272305,267322.6142599882,299168.7054638765,345630.1175425701,255557.57234331695,0.99675,2020-03-15
Washington,35,118616.80611629457,152567.24438509898,166296.8645376333,178138.99119908674,198239.65303127776,164083.89077430998,1,2020-03-15
West Virginia,35,4706.793045236999,19033.565712781143,23442.40334138394,26718.70819915374,31274.326649756058,22052.620428061637,0.987,2020-03-15
Wisconsin,35,34568.55517972175,134529.94380907304,164624.0916619444,183897.49203912047,210081.41642864206,153768.6093664851,0.9885,2020-03-15
